"zip5","PCSA"
"02916","44007010300"
"02917","44007012702"
"02918","44007000600"
"02919","44007012401"
"02920","44007013701"
"02921","44007013701"
"02940","44007000600"
"03031","33011015100"
"03032","33011001700"
"03033","33011016201"
"03034","33011001700"
"03036","33015003400"
"03037","33011001700"
"03038","33015003400"
"03040","33011001700"
"03041","33015003400"
"03042","33015106400"
"03043","33013032500"
"03044","33015106400"
"03045","33011001700"
"03046","33013032500"
"03047","33011023000"
"03048","33011016201"
"03049","33011010700"
"03051","33011010700"
"03052","33011010700"
"03053","33015003701"
"03054","33011014100"
"03055","33011016201"
"03057","33011016201"
"03060","33011010700"
"03061","33011010700"
"03062","33011010700"
"03063","33011010700"
"03064","33011010700"
"03070","33011001700"
"03071","33011016201"
"03073","33015100301"
"03076","33011200300"
"03077","33015106400"
"03079","33015100301"
"03082","33011016201"
"03084","33011016201"
"03086","33011016201"
"03087","33015003400"
"03101","33011001700"
"03102","33011001700"
"03103","33011001700"
"03104","33011001700"
"03105","33011001700"
"03106","33011001700"
"03107","33011001700"
"03108","33011001700"
"03109","33011001700"
"03110","33011001700"
"03111","33011001700"
"03215","33009961000"
"03216","33013032500"
"03217","33009961000"
"03218","33013032500"
"03220","33001966000"
"03221","33013032500"
"03222","33009961200"
"03223","33009961000"
"03224","33013032500"
"03225","33013032500"
"03226","33001965300"
"03227","33001965300"
"03229","33013032500"
"03230","33009961200"
"03231","33013032500"
"03233","33009961800"
"03234","33013032500"
"03235","33013043001"
"03237","33013032500"
"03238","33009961000"
"03240","33009961800"
"03241","33009961800"
"03242","33013032500"
"03243","33009961200"
"03244","33013032500"
"03245","33009961000"
"03246","33001966000"
"03247","33001966000"
"03249","33001966000"
"03251","33009961000"
"03252","33001966000"
"03253","33001965300"
"03254","33001965300"
"03255","33013032500"
"03256","33001965300"
"03257","33009961800"
"03258","33013032500"
"03259","33001965300"
"03260","33013032500"
"03261","33013032500"
"03262","33009961000"
"03263","33013035000"
