pcsa,zip,state_cd,zcta,fips_code,lat,lng,zip_type,ruca_code,census_region,census_division,distance_to_fqhc
47157021311,38048,TN,38060,047,35.1507,-89.4814,Post Office or large volume customer,2,S,ESC,42.1970832520747
47157021311,38060,TN,38060,047,35.229,-89.5151,Zip Code Area,2,S,ESC,42.1970832520747
47157021311,38088,TN,38018,157,35.1556,-89.7762,Post Office or large volume customer,1,S,ESC,21.57612991723432
47157021311,38117,TN,38117,157,35.1124,-89.9034,Zip Code Area,1,S,ESC,9.148490231264912
47157021311,38120,TN,38120,157,35.1207,-89.8651,Zip Code Area,1,S,ESC,13.767136991214278
47157021311,38122,TN,38122,157,35.1572,-89.9268,Zip Code Area,1,S,ESC,8.050986981781564
47157021311,38028,TN,38028,157,35.1551,-89.676,Zip Code Area,2,S,ESC,34.21846492066284
47073050301,37811,TN,37811,073,36.3621,-83.2095,Zip Code Area,2,S,ESC,25.254859332761352
47017962100,38321,TN,38321,017,35.8613,-88.5517,Zip Code Area,8,S,ESC,65.00912386083576
47017962100,38317,TN,38317,017,36.0268,-88.2518,Zip Code Area,10,S,ESC,60.80747005398775
46067968600,57047,SD,57047,125,43.5207,-97.212,Zip Code Area,10.1,MW,WNC,41.68741771305756
46067968600,57053,SD,57053,125,43.402,-97.1333,Zip Code Area,10.1,MW,WNC,41.05325587647732
46067968600,57319,SD,57319,087,43.5503,-97.4691,Zip Code Area,2,MW,WNC,55.826853266610115
46067968700,57052,SD,57052,067,43.2928,-97.7184,Zip Code Area,10,MW,WNC,82.61674023317066
46067968700,57331,SD,57331,067,43.4705,-97.9988,Zip Code Area,10.2,MW,WNC,72.11462330188984
46067968700,57354,SD,57059,067,43.3341,-97.7569,Zip Code Area,10,MW,WNC,97.0488606482463
46067968700,57366,SD,57366,067,43.3978,-97.9678,Zip Code Area,10.2,MW,WNC,78.279808251072
46067968700,57376,SD,57376,067,43.2404,-97.9713,Zip Code Area,10,MW,WNC,94.742866241112
46073974100,57358,SD,57358,073,44.0696,-98.4252,Post Office or large volume customer,10.2,MW,WNC,67.36409109590264
46073974100,57382,SD,57382,073,44.0664,-98.6751,Zip Code Area,10,MW,WNC,86.2090536806687
46075091600,57531,SD,57531,075,43.926,-100.5085,Zip Code Area,10,MW,WNC,63.14480239452245
46075091600,57559,SD,57559,075,43.8961,-100.7121,Zip Code Area,10,MW,WNC,73.5377654031811
46075091600,57562,SD,57562,075,43.8861,-100.8918,Zip Code Area,10,MW,WNC,87.0457674276069
46077958200,57231,SD,57231,077,44.3852,-97.5634,Zip Code Area,10,MW,WNC,36.83580666422739
46077958200,57353,SD,57353,077,44.3455,-97.8542,Zip Code Area,10,MW,WNC,42.00412462707736
46067968600,57045,SD,57045,067,43.234,-97.565,Zip Code Area,10,MW,WNC,79.7897333485617
46067968600,57043,SD,57043,125,43.4188,-97.2771,Zip Code Area,10.1,MW,WNC,52.61566570911124
46067968600,57029,SD,57029,067,43.3605,-97.4601,Zip Code Area,10,MW,WNC,69.30030462732658
46067968600,57015,SD,57015,125,43.408,-96.9827,Zip Code Area,10.1,MW,WNC,30.19405718541878
46119979100,57564,SD,57564,119,44.7125,-100.0957,Zip Code Area,10.2,MW,WNC,33.791768598581534
46053971200,57317,SD,57317,053,43.0695,-98.988,Zip Code Area,10,MW,WNC,148.8081470679653
46053971200,57335,SD,57335,053,43.0351,-98.8308,Zip Code Area,10,MW,WNC,145.47737508303345
46053971200,57523,SD,57523,053,43.1825,-99.2937,Zip Code Area,10,MW,WNC,158.3888616331845
46053971200,57533,SD,57533,053,43.2136,-99.3622,Zip Code Area,10,MW,WNC,145.92863130552578
46053971200,57538,SD,57538,053,43.1012,-99.2173,Zip Code Area,10,MW,WNC,158.95301258885092
46053971200,57571,SD,57571,053,43.0852,-99.0925,Zip Code Area,10,MW,WNC,160.75879149801418
46079960200,57016,SD,57016,079,43.8981,-96.9759,Zip Code Area,8.1,MW,WNC,38.429039108846354
46055960100,57521,SD,57521,071,43.886,-101.2387,Zip Code Area,10,MW,WNC,107.85314019772507
46055960100,57547,SD,57547,071,43.4754,-101.4294,Zip Code Area,10,MW,WNC,145.74316682142745
46055960100,57552,SD,57552,055,44.0717,-101.1554,Zip Code Area,10,MW,WNC,75.7690234633044
46055960100,57553,SD,57553,055,44.4283,-101.7523,Zip Code Area,10,MW,WNC,106.09588152311208
46055960100,57567,SD,57567,055,44.055,-101.6876,Zip Code Area,10,MW,WNC,116.99365234455672
46055960100,57577,SD,57577,071,43.5589,-101.7219,Zip Code Area,10,MW,WNC,140.4809086032116
46055960100,57750,SD,57750,071,43.7319,-101.9642,Zip Code Area,10,MW,WNC,117.52734348965728
46067968600,57012,SD,57012,087,43.5856,-97.2889,Zip Code Area,2,MW,WNC,45.93958191954881
46055960100,57543,SD,57543,071,43.8446,-101.5523,Zip Code Area,10,MW,WNC,126.60850445696487
46119979100,57540,SD,57540,069,44.5173,-99.5943,Zip Code Area,10,MW,WNC,55.190371180666325
46079960200,57042,SD,57042,079,44.0054,-97.1149,Zip Code Area,7,MW,WNC,34.24149710505861
46079960200,57054,SD,57054,079,44.1229,-97.2349,Zip Code Area,8,MW,WNC,27.993401152229513
46099010600,57106,SD,57106,099,43.5179,-96.7924,Zip Code Area,1,MW,WNC,15.231020963504184
46099010600,57107,SD,57107,099,43.5566,-96.8028,Zip Code Area,1,MW,WNC,9.126855881590776
46099010600,57108,SD,57108,099,43.4775,-96.7041,Zip Code Area,1,MW,WNC,14.151678163023528
46099010600,57109,SD,57106,099,43.6746,-96.7913,Post Office or large volume customer,1,MW,WNC,15.231020963504184
46099010600,57117,SD,57117,099,43.6746,-96.7913,Post Office or large volume customer,1,MW,WNC,9.02474076134976
46099010600,57118,SD,57104,099,43.6746,-96.7913,Post Office or large volume customer,1,MW,WNC,0.0
46099010600,57193,SD,57104,099,43.6746,-96.7913,Post Office or large volume customer,1,MW,WNC,0.0
46099010600,57197,SD,57197,099,43.6746,-96.7913,Zip Code Area,1,MW,WNC,9.26283880391716
46099010600,57198,SD,57030,099,43.6746,-96.7913,Post Office or large volume customer,2,MW,WNC,21.16983170763364
46099001901,57103,SD,57103,099,43.5374,-96.6864,Zip Code Area,1,MW,WNC,6.6974301972799015
46099001901,57105,SD,57105,099,43.524,-96.7341,Zip Code Area,1,MW,WNC,9.659377815044047
46099001901,57110,SD,57110,099,43.5486,-96.6332,Zip Code Area,1,MW,WNC,8.405293495351279
46099001901,57186,SD,57104,099,43.5424,-96.7312,Post Office or large volume customer,1,MW,WNC,0.0
46083010300,57039,SD,57039,083,43.3451,-96.8821,Zip Code Area,2,MW,WNC,32.59301049398985
46083010300,57077,SD,57077,083,43.3291,-96.7628,Zip Code Area,2,MW,WNC,31.586515267191373
46099010600,57104,SD,57104,099,43.5514,-96.7375,Zip Code Area,1,MW,WNC,0.0
46099010600,57101,SD,57104,099,43.5464,-96.6906,Post Office or large volume customer,1,MW,WNC,0.0
46099010600,57064,SD,57064,083,43.4711,-96.8177,Zip Code Area,2,MW,WNC,21.290196102749384
46099010600,57055,SD,57055,099,43.6366,-96.7119,Zip Code Area,2,MW,WNC,7.494735095009012
46079960200,57057,SD,57057,079,44.0683,-96.9519,Zip Code Area,8,MW,WNC,50.27242939256936
46079960200,57075,SD,57075,079,43.9852,-96.9615,Zip Code Area,8.1,MW,WNC,48.78531449361352
46079960200,57076,SD,57076,079,43.9972,-97.3623,Zip Code Area,8,MW,WNC,18.832558692216317
46081966100,57732,SD,57732,081,44.3767,-103.7296,Zip Code Area,10,MW,WNC,39.20045200377894
46081966100,57754,SD,57754,081,44.263,-103.8712,Zip Code Area,7,MW,WNC,55.58513712720005
46081966100,57759,SD,57759,081,44.2097,-103.5449,Zip Code Area,7,MW,WNC,28.83818605999194
