val,label,level,level_order,adult
20943,CANB,3,5,1
20950,CANB,3,5,1
20951,CANB,3,5,1
20952,CANB,3,5,1
20953,CANB,3,5,1
20954,CANB,3,5,1
20955,CANB,3,5,1
20956,CANB,3,5,1
20957,CANB,3,5,1
20960,CANB,3,5,1
20961,CANB,3,5,1
20962,CANB,3,5,1
20963,CANB,3,5,1
20964,CANB,3,5,1
20965,CANB,3,5,1
20966,CANB,3,5,1
20967,CANB,3,5,1
20969,CANB,3,5,1
20970,CANH,3,2,1
20971,CANH,3,2,1
20972,CANH,3,2,1
20973,CANH,3,2,1
20974,CANH,3,2,1
20975,CANH,3,2,1
20979,CANH,3,2,1
210,CANB,3,5,1
2100,CANB,3,5,1
2101,CANB,3,5,1
2102,CANB,3,5,1
2103,CANB,3,5,1
2104,CANB,3,5,1
2105,CANB,3,5,1
2106,CANB,3,5,1
2107,CANB,3,5,1
2108,CANB,3,5,1
2109,CANB,3,5,1
211,CANB,3,5,1
2110,CANB,3,5,1
2111,CANB,3,5,1
2112,CANB,3,5,1
2113,CANB,3,5,1
2114,CANB,3,5,1
2115,CANB,3,5,1
2116,CANB,3,5,1
2117,CANB,3,5,1
2118,CANB,3,5,1
2119,CANB,3,5,1
212,CANB,3,5,1
2120,CANB,3,5,1
2121,CANB,3,5,1
2122,CANB,3,5,1
2123,CANB,3,5,1
2124,CANB,3,5,1
2125,CANB,3,5,1
2126,CANB,3,5,1
2127,CANB,3,5,1
2128,CANB,3,5,1
2129,CANB,3,5,1
213,CANB,3,5,1
2130,CANB,3,5,1
2131,CANB,3,5,1
2132,CANB,3,5,1
2133,CANB,3,5,1
2134,CANB,3,5,1
2135,CANB,3,5,1
2136,CANB,3,5,1
2137,CANB,3,5,1
2138,CANB,3,5,1
2139,CANB,3,5,1
214,CANB,3,5,1
2140,CANB,3,5,1
2141,CANB,3,5,1
2142,CANB,3,5,1
2143,CANB,3,5,1
2144,CANB,3,5,1
2148,CANB,3,5,1
2149,CANB,3,5,1
215,CANB,3,5,1
2150,CANB,3,5,1
2152,CANB,3,5,1
2153,CANB,3,5,1
2154,CANB,3,5,1
2155,CANB,3,5,1
2156,CANB,3,5,1
2157,CANB,3,5,1
2158,CANB,3,5,1
2159,CANB,3,5,1
216,CANB,3,5,1
